voltage,current_uA,weight_kg,step_location,power_mW
7.52,50.89,53.00,Center,0.38
16.10,51.45,59.00,Edge,0.83
21.70,54.90,63.00,Center,1.19
6.05,52.86,54.00,Edge,0.32
33.70,52.06,76.00,Center,1.75
26.39,54.59,69.00,Edge,1.44
29.80,49.55,73.00,Center,1.48
19.70,53.35,63.00,Center,1.05
26.50,48.64,72.00,Center,1.29
30.80,51.56,75.00,Corner,1.59
13.90,47.06,61.00,Corner,0.65
25.50,52.13,71.00,Edge,1.33
18.60,54.66,64.00,Edge,1.02
6.07,47.51,54.00,Edge,0.29
21.80,51.65,65.00,Center,1.13
0.00,0.00,53.00,Center,0.00
28.40,53.39,73.00,Center,1.52
27.90,50.93,69.00,Center,1.42
25.90,46.24,71.00,Edge,1.20
5.05,49.54,51.00,Edge,0.25
2.18,50.76,50.00,Corner,0.11
26.30,54.93,71.00,Edge,1.44
37.10,50.61,80.00,Center,1.88
4.67,54.42,54.00,Corner,0.25
19.30,49.85,66.00,Edge,0.96
24.00,51.48,69.00,Corner,1.24
11.50,49.51,58.00,Corner,0.57
26.50,47.65,68.00,Center,1.26
27.90,52.69,70.00,Center,1.47
4.21,48.50,51.00,Corner,0.20
4.32,46.61,52.00,Corner,0.20
5.21,50.06,54.00,Edge,0.26
26.80,45.08,70.00,Center,1.21
0.00,0.00,77.00,Edge,0.00
24.70,49.88,69.00,Edge,1.23
29.00,54.11,70.00,Center,1.57
26.80,52.57,71.00,Center,1.41
7.40,45.27,56.00,Center,0.33
18.20,49.16,64.00,Edge,0.89
24.10,49.52,73.00,Corner,1.19
12.80,51.35,61.00,Corner,0.66
21.20,51.16,65.00,Center,1.08
13.70,48.88,61.00,Corner,0.67
19.60,45.50,64.00,Center,0.89
6.20,50.74,53.00,Edge,0.31
23.70,50.30,65.00,Corner,1.19
4.96,53.33,55.00,Corner,0.26
16.10,53.59,60.00,Edge,0.86
32.00,47.20,74.00,Corner,1.51
26.10,52.31,68.00,Edge,1.37
23.40,52.86,69.00,Corner,1.24
0.00,0.00,80.00,Edge,0.00
25.70,50.01,70.00,Edge,1.29
27.60,47.90,73.00,Center,1.32
13.90,48.72,62.00,Corner,0.68
14.50,52.83,63.00,Corner,0.77
53.70,54.88,89.00,Center,2.95
16.40,46.21,65.00,Edge,0.76
11.40,54.02,58.00,Corner,0.62
7.60,47.46,54.00,Center,0.36
5.00,51.17,52.00,Corner,0.26
24.30,47.05,64.00,Center,1.14
0.00,0.00,73.00,Center,0.00
22.00,48.95,66.00,Corner,1.08
24.10,53.29,71.00,Corner,1.28
19.40,49.48,65.00,Edge,0.96
33.70,53.06,77.00,Corner,1.79
20.50,48.87,63.00,Corner,1.00
19.80,49.06,66.00,Center,0.97
17.00,46.47,64.00,Edge,0.79
14.40,45.91,62.00,Corner,0.66
34.60,48.58,79.00,Center,1.68
26.40,52.11,70.00,Center,1.38
23.90,47.20,67.00,Center,1.13
35.10,46.79,81.00,Center,1.64
33.80,50.08,76.00,Edge,1.69
23.90,50.06,72.00,Corner,1.20
19.60,51.27,64.00,Center,1.00
5.02,46.26,53.00,Corner,0.23
0.00,0.00,66.00,Center,0.00
4.59,52.01,57.00,Corner,0.24
6.54,54.76,54.00,Edge,0.36
25.30,49.01,72.00,Edge,1.24
18.20,52.56,58.00,Edge,0.96
15.50,49.67,63.00,Corner,0.77
9.50,49.55,56.00,Center,0.47
26.40,52.58,69.00,Center,1.39
35.20,45.09,78.00,Center,1.59
22.00,54.36,66.00,Corner,1.20
43.40,49.92,86.00,Corner,2.17
19.40,45.60,66.00,Center,0.88
16.20,47.53,64.00,Edge,0.77
23.40,53.44,68.00,Corner,1.25
6.30,52.13,55.00,Edge,0.33
24.30,52.69,64.00,Edge,1.28
16.40,49.12,62.00,Edge,0.81
7.77,52.85,55.00,Center,0.41
51.20,50.21,87.00,Center,2.57
19.60,49.06,61.00,Center,0.96
29.40,46.68,72.00,Center,1.37
19.40,47.74,65.00,Center,0.93
9.90,47.17,57.00,Center,0.47
25.20,49.57,70.00,Edge,1.25
